
 ------------------------------------------------------------------------------------------------------------------mean------------------------------------------------------------------------------------------------------------------ 
    num_topics          tokens       document_entropy    word-length        coherence        uniform_dist      corpus_dist      eff_num_words     token-doc-diff     rank_1_docs     allocation_ratio  allocation_count    exclusivity     
       s_16            34080.0           9.29005            5.225           -791.8182          4.42305           1.46345           113.0643           0.0001            0.552             0.4447           0.65795            0.4385       
       s_17            32230.0            9.1906             5.15           -821.0522           4.4457            1.5179           106.7063           0.0001            0.5517            0.4367            0.6533            0.4483       
       s_18            27983.0           9.13635            5.275           -813.14345          4.4106           1.63935           101.9978           0.0001            0.5401            0.4365           0.65225           0.43965       
       s_19            29667.0            9.1511             5.2            -799.3367           4.4777            1.5929           110.0979           0.0001            0.5651            0.4369            0.6552            0.4201       
       s_20            25893.5            8.9846            5.175           -792.51255         4.39425            1.6584           112.5217           0.0001           0.53565           0.41935            0.6441            0.4323       
       s_25            18916.0            8.7711             5.3             -793.34            4.7247            1.9648           70.0485            0.0001            0.4987            0.3774            0.5881            0.3994       
       s_30            16890.5            8.6767             5.25           -815.9273           4.8043            1.996            71.81935           0.0001           0.49085            0.3668           0.56955           0.37395       
       s_35            13367.0            8.4796             5.3            -866.1988           4.8736            2.1614           68.1576            0.0001            0.4908            0.358             0.5634            0.3663       
       s_40            12408.0           8.38895             5.25           -847.62205         4.95255            2.2065           66.0095            0.0001           0.48375           0.35175            0.5612            0.3487       
       s_45            11427.0            8.2992             5.3            -858.0066           5.0765            2.3487           58.1405            0.0001            0.4697            0.3381            0.5444            0.3704       
       s_50            10372.5           8.22295             5.2            -844.0632           5.1556            2.4813           52.25265           0.0001           0.47565           0.32735           0.53725           0.34185       

