,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12
6860,16710788,0,0,0,0,0,0,0,0,0,0,0,1
4459,18291476,0,0,0,0,0,0,0,0,0,0,0,1
9470,19315550,0,0,0,0,0,0,0,0,0,0,0,1
1380,21038703,0,0,0,0,0,0,0,0,0,0,0,1
7875,21109428,0,0,0,0,0,0,0,0,0,0,0,1
172,21345597,0,0,0,0,0,0,0,0,0,0,0,1
6912,22400592,0,0,0,0,0,0,0,0,0,0,0,1
9172,23437878,0,0,0,0,0,0,0,0,0,0,0,1
9910,23526554,0,0,0,0,0,0,0,0,0,0,0,1
9576,23880451,0,0,0,0,0,0,0,0,0,0,0,1
10360,23966504,0,0,0,0,0,0,0,0,0,0,0,1
1752,24883281,0,0,0,0,0,0,0,0,0,0,0,1
862,24913133,0,0,0,0,0,0,0,0,0,0,0,1
1070,25577658,0,0,0,0,0,0,0,0,0,0,0,1
707,25641569,0,0,0,0,0,0,0,0,0,0,0,1
3611,27085591,0,0,0,0,0,0,0,0,0,0,0,1
5232,27194464,0,0,0,0,0,0,0,0,0,0,0,1
8975,27480258,0,0,0,0,0,0,0,0,0,0,0,1
4807,27643984,0,0,0,0,0,0,0,0,0,0,0,1
10234,27662263,0,0,0,0,0,0,0,0,0,0,0,1
7915,27708806,0,0,0,0,0,0,0,0,0,0,0,1
2741,27865608,0,0,0,0,0,0,0,0,0,0,0,1
243,27982609,0,0,0,0,0,0,0,0,0,0,0,1
6608,29262602,0,0,0,0,0,0,0,0,0,0,0,1
6271,29761076,0,0,0,0,0,0,0,0,0,0,0,1
135,30293874,0,0,0,0,0,0,0,0,0,0,0,1
3416,30658548,0,0,0,0,0,0,0,0,0,0,0,1
5719,30670345,0,0,0,0,0,0,0,0,0,0,0,1
8861,30693686,0,0,0,0,0,0,0,0,0,0,0,1
5274,31397784,0,0,0,0,0,0,0,0,0,0,0,1
8780,31420285,0,0,0,0,0,0,0,0,0,0,0,1
5179,31446782,0,0,0,0,0,0,0,0,0,0,0,1
621,31558874,0,0,0,0,0,0,0,0,0,0,0,1
6389,31760917,0,0,0,0,0,0,0,0,0,0,0,1
5172,32064290,0,0,0,0,0,0,0,0,0,0,0,1
6742,32096814,0,0,0,0,0,0,0,0,0,0,0,1
8833,32133947,0,0,0,0,0,0,0,0,0,0,0,1
4301,32451009,0,0,0,0,0,0,0,0,0,0,0,1
3043,32897985,0,0,0,0,0,0,0,0,0,0,0,1
8268,33590114,0,0,0,0,0,0,0,0,0,0,0,1
7916,33642884,0,0,0,0,0,0,0,0,0,0,0,1
3077,33944837,0,0,0,0,0,0,0,0,0,0,0,1
1135,33956076,0,0,0,0,0,0,0,0,0,0,0,1
6667,34060203,0,0,0,0,0,0,0,0,0,0,0,1
1957,34224125,0,0,0,0,0,0,0,0,0,0,0,1
3864,34413198,0,0,0,0,0,0,0,0,0,0,0,1
