,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
3934,17350092,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2766,17558126,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3546,18094029,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2686,18245783,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8589,19286529,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9204,19875503,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9200,20016650,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5471,20204461,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3110,20797828,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2786,21241037,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8660,21807778,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2806,21948158,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9042,22899012,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1098,22930115,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3554,23290362,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9441,23458892,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6300,23717636,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6859,23767663,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9651,23917275,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8337,24531671,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9126,24621546,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8651,24673216,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3322,24782130,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7068,24859069,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1058,24892606,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3027,25162767,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6650,25253911,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9074,25336641,0,0,0,0,0,0,0,0,0,0,1,0,0,0
849,25463360,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4836,25487685,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2431,25609853,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8105,25610561,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2214,25678073,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1621,26311577,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10230,26317050,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8673,26321135,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4179,26404785,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4850,26404989,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9421,26795710,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6988,26800822,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1908,27255155,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4504,27332026,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10260,27364624,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10793,27640982,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2183,27693898,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1091,27803301,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9860,27820271,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1024,27986486,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9258,28110416,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2052,28185749,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1286,28205874,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5064,28570622,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4604,29149553,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7937,29546728,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10338,29590898,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5796,29705135,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7991,29785532,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2678,30106877,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3598,30165928,0,0,0,0,0,0,0,0,0,0,1,0,0,0
483,30381450,0,0,0,0,0,0,0,0,0,0,1,0,0,0
591,30429354,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3440,30554490,0,0,0,0,0,0,0,0,0,0,1,0,0,0
975,30637701,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4820,30987910,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9731,31011479,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6137,31125357,0,0,0,0,0,0,0,0,0,0,1,0,0,0
810,31242888,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10433,31310904,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6320,31646654,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3390,31688871,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9677,31810694,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3464,31813286,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5617,31823207,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6761,31940198,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9906,32127115,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5186,32145538,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10465,32192948,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7394,32475982,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7866,32556591,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8875,32893380,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8214,32936766,0,0,0,0,0,0,0,0,0,0,1,0,0,0
408,32979630,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10284,32989860,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7423,33229619,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4081,33289110,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1109,33331603,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3111,33372982,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8000,33387293,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8060,33580823,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2371,33599908,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8505,33622118,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6471,33647079,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2877,33847697,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2601,34039130,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1687,34064432,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8602,34096126,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3365,34146019,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5990,34369288,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6631,34377670,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3574,34429205,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7014,34442279,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1951,34547183,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3336,34712639,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6040,34905225,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,35001769,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5299,35026158,0,0,0,0,0,0,0,0,0,0,1,0,0,0
66,35111585,0,0,0,0,0,0,0,0,0,0,1,0,0,0
200,35185045,0,0,0,0,0,0,0,0,0,0,1,0,0,0
267,35197643,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4768,35350275,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5278,35494247,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2375,35514949,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8978,35568293,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6558,35617270,0,0,0,0,0,0,0,0,0,0,1,0,0,0
561,35654730,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3700,35676645,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6951,35697058,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3347,35769834,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10089,35840347,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10430,36068678,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5052,36210513,0,0,0,0,0,0,0,0,0,0,1,0,0,0
700,36221634,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3403,36239965,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1414,36340218,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1794,36476889,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4071,36551698,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9268,36703078,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9367,36753288,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2296,36772664,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4576,36860397,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6322,36866660,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1331,36890360,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7041,36901991,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5932,37003383,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3013,37176264,0,0,0,0,0,0,0,0,0,0,1,0,0,0
301,37227966,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3447,37332066,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3089,37448801,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9096,37559596,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6838,37616663,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9794,37707682,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4139,37738222,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1163,37749053,0,0,0,0,0,0,0,0,0,0,1,0,0,0
299,37776712,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3250,37783100,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8905,37802245,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1066,37823491,0,0,0,0,0,0,0,0,0,0,1,0,0,0
456,37978657,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4393,38067298,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3083,38165339,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4401,38278466,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1391,38400685,0,0,0,0,0,0,0,0,0,0,1,0,0,0
120,38416234,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3242,38421388,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2151,38446572,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8366,38503181,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2980,38523617,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8472,38526261,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3473,38530293,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4567,38536786,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6201,38557759,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8176,38573159,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8688,38606861,0,0,0,0,0,0,0,0,0,0,1,0,0,0
462,38689432,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9570,38698121,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7208,38708419,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6699,38714342,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10717,38736637,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8684,38773540,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3302,38885510,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5587,38944608,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6075,39022030,0,0,0,0,0,0,0,0,0,0,1,0,0,0
