,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
241,14515105,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5359,16464727,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2069,16723887,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3524,17560445,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4658,18439372,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9464,20230014,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9271,21495479,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2857,21497010,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5442,22254375,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6546,22385116,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8466,22390963,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3649,22511256,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6528,22694561,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4844,22860342,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7901,22916627,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6585,23155065,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5890,23360298,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10485,23491908,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10213,23519407,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9686,24224155,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4578,24536991,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1935,25390458,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6623,25622310,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7768,25642385,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6655,25810744,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6513,25878605,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7257,26017843,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3203,26163539,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10180,26215684,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2929,26222133,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7882,26344244,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3764,26548831,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3631,26710407,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5169,26804078,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4909,27379757,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9951,27456578,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1589,27798528,0,0,0,0,0,0,1,0,0,0,0,0,0,0
334,28183507,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3297,28189882,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10604,28345318,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9517,28550372,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7826,28631156,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8103,28695597,0,0,0,0,0,0,1,0,0,0,0,0,0,0
771,28761447,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4789,28933580,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4381,29132269,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6649,29340474,0,0,0,0,0,0,1,0,0,0,0,0,0,0
176,29404818,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6356,29497604,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5443,29550748,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6990,30221072,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8517,30403358,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7166,30448102,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5872,30632177,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1048,30870091,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4939,30926933,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6603,31055248,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7784,31306452,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4848,31400846,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1684,32274265,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8659,32314950,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9611,32344741,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8973,32606555,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10496,32694637,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9114,33398499,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6058,33480167,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3573,33602935,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6747,33613788,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6318,33617504,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8793,33662111,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2952,33960994,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5290,34172620,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4744,34185040,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3139,34370868,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8186,34446237,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5031,34916863,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8938,35518984,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8260,35528105,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3741,35548060,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8776,36078296,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6433,36194673,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7422,36448676,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2032,36584758,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10056,36710439,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8311,36817006,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2690,37154166,0,0,0,0,0,0,1,0,0,0,0,0,0,0
494,37374898,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6744,37508817,0,0,0,0,0,0,1,0,0,0,0,0,0,0
885,37523569,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1517,37675962,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4947,37710803,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5197,37776239,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5116,37967513,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6042,38169132,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8812,38212956,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2292,38243490,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4069,38250503,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3621,38372358,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10396,38434112,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2092,38538682,0,0,0,0,0,0,1,0,0,0,0,0,0,0
