,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
8634,16296381,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2115,21054355,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6502,21827184,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10214,22756095,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,24283078,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7068,24859069,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10773,26097831,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8888,26708368,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5169,26804078,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,27173936,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4040,28077222,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6669,28527370,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2718,29079865,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4967,29234304,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7202,29337439,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2984,29438562,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3713,29523168,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8079,29533994,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2644,29860278,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9628,29960717,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7872,30004659,1,0,0,0,0,0,0,0,0,0,0,0,0,0
435,30041394,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5567,30694410,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4968,31286924,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6089,31555484,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3390,31688871,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1348,31768065,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3464,31813286,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2345,31823094,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2910,31843539,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,31989119,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7986,32248913,1,0,0,0,0,0,0,0,0,0,0,0,0,0
373,32422530,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3772,32441034,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4164,32539000,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1488,32551877,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3512,32614463,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2409,32893777,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8214,32936766,1,0,0,0,0,0,0,0,0,0,0,0,0,0
973,32983946,1,0,0,0,0,0,0,0,0,0,0,0,0,0
224,33136854,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6493,33371700,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9322,33379666,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9456,33576336,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8793,33662111,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1832,33690411,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1790,34066972,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9137,34196483,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3139,34370868,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3574,34429205,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2361,34568942,1,0,0,0,0,0,0,0,0,0,0,0,0,0
239,34623733,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10587,34752312,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7402,34776603,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7851,34792801,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5078,34828768,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7265,34892201,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4212,34961961,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1026,34987878,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6717,35062073,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10191,35161091,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8618,35189475,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10130,35300370,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9917,35510066,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8636,35794496,1,0,0,0,0,0,0,0,0,0,0,0,0,0
116,35819200,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7957,35870192,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6678,36022891,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1292,36030757,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3375,36041127,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7044,36092987,1,0,0,0,0,0,0,0,0,0,0,0,0,0
700,36221634,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6306,36487995,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8904,36515099,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,36527253,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6267,36576763,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8712,36608462,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7699,36614776,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3307,36721461,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9284,36734830,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7577,36770145,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6322,36866660,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3646,36941605,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5558,36945079,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7360,36967397,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5932,37003383,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5563,37003590,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3243,37137832,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1708,37226316,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8810,37243344,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2408,37319456,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9068,37343150,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7828,37475555,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8263,37648756,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6116,37805588,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1316,37913426,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9154,38029629,1,0,0,0,0,0,0,0,0,0,0,0,0,0
535,38041171,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3831,38043100,1,0,0,0,0,0,0,0,0,0,0,0,0,0
388,38140119,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6431,38204774,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6519,38215687,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4106,38288150,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1482,38320530,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3242,38421388,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2935,38439854,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2980,38523617,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7698,38589355,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1710,38594608,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9778,38697399,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10691,38741468,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8624,38860455,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7439,38889682,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9356,39063795,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4312,39095125,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8754,39143308,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1898,39185591,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6757,39186791,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7302,39188168,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1490,39265351,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7704,39362292,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10553,39419814,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8877,39454124,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5980,39463270,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8579,39478579,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5942,39517334,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7685,39610578,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3992,39678147,1,0,0,0,0,0,0,0,0,0,0,0,0,0
750,39697679,1,0,0,0,0,0,0,0,0,0,0,0,0,0
989,39795126,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4399,39894647,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3040,39901459,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7585,39976958,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9000,39997094,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8476,40155359,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9045,40191522,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9826,40285844,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6230,40373742,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4321,40378223,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3335,40386529,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2271,40404892,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3796,40424298,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10269,40549421,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3580,40589735,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1298,40593492,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9141,40607647,1,0,0,0,0,0,0,0,0,0,0,0,0,0
288,40681819,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7148,40783904,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9457,40811777,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1408,40976939,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9123,41141990,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5069,41212844,1,0,0,0,0,0,0,0,0,0,0,0,0,0
819,41214854,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10768,41383930,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5124,41423800,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10085,41466931,1,0,0,0,0,0,0,0,0,0,0,0,0,0
240,41482065,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9929,41487488,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8468,41522769,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10603,41532973,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2897,41579075,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5107,41808981,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1829,41823184,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9742,41869867,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4774,41880316,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5174,41907640,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1889,41922517,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9473,41953889,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2061,41965886,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3256,42168027,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9476,42236439,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7552,42253548,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7293,42579098,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9210,42590852,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8724,42612237,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4582,42652086,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6733,42669140,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10378,42727471,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6494,42758997,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3849,42799319,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10570,42865702,1,0,0,0,0,0,0,0,0,0,0,0,0,0
871,42866775,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,42880018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9971,42894288,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2204,42902550,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3609,42916226,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8135,42969577,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4893,43062747,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7397,43113770,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7918,43186152,1,0,0,0,0,0,0,0,0,0,0,0,0,0
881,43210318,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9693,43252641,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,43286796,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4127,43324385,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6876,43368192,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8891,43456269,1,0,0,0,0,0,0,0,0,0,0,0,0,0
944,43475283,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2511,43527887,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5212,43562566,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9134,43577884,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8630,43634913,1,0,0,0,0,0,0,0,0,0,0,0,0,0
