,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
2062,16029897,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6673,19819083,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10374,23976059,0,0,0,0,0,0,0,0,0,0,0,0,0,1
993,26152395,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6868,26587863,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7727,26992562,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10692,28341591,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3267,29712087,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3793,30262581,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3590,30681639,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5809,31221980,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6360,31298268,0,0,0,0,0,0,0,0,0,0,0,0,0,1
204,31468395,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4706,32165204,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10329,32314820,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1770,32426208,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2570,32632198,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3922,32680217,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1878,32979568,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6563,34244090,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3748,34518556,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9934,34668270,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6949,34981122,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4108,35186677,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2413,35671364,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1700,35711134,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4498,36005173,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1384,36031465,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4093,36057740,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8996,36091378,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1079,36091760,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8621,36128927,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1536,36243329,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9791,36456984,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4464,36547160,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8272,36596436,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5383,37224398,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5795,37469187,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6659,37538122,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10677,37592192,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5346,37621981,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4026,37669727,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8729,37681796,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1750,37694592,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2803,37871995,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2661,38107387,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2847,38172308,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5035,38224468,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7272,38309240,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2920,38335004,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7098,38358581,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5834,38554454,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9076,38732244,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9015,39154845,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8800,39249886,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2709,39349423,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8051,39352344,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2387,39492635,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5113,39568063,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5514,39577012,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3933,39579222,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10394,39612536,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6783,39746261,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5481,40283471,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5547,40406436,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10043,40473768,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3199,40511744,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6691,40526055,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5396,40549648,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1217,40882314,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3782,41036756,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10018,41119447,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7993,41141704,0,0,0,0,0,0,0,0,0,0,0,0,0,1
304,41166869,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8867,41169429,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4014,41223268,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8273,41299788,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3232,41350911,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6108,41400192,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7959,41485770,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1803,41557307,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5826,41594687,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2525,41701059,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4845,41902103,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9805,41920095,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4646,41932767,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8930,42141191,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3571,42284627,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9735,42319964,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10520,42328774,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1574,42457871,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4809,42495365,0,0,0,0,0,0,0,0,0,0,0,0,0,1
