,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
557,15419985,0,0,1,0,0,0,0,0,0,0,0,0,0,0
382,17535747,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6173,20179343,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3049,21056653,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6498,21870963,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2753,22695072,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5956,23458776,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7221,23570215,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8523,23597367,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1685,23966094,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4964,24670995,0,0,1,0,0,0,0,0,0,0,0,0,0,0
550,24977514,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6578,25224031,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6065,25320650,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3996,25710977,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8384,26181299,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7553,26342973,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6560,26457918,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5880,26491196,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3618,26765271,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3451,27040746,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7680,27049792,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2772,27144245,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1065,27272470,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6941,27325383,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8926,27357954,0,0,1,0,0,0,0,0,0,0,0,0,0,0
594,27776227,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5941,27904611,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4325,27923539,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2266,27996679,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1081,28207124,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2128,28529324,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2692,28603922,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5859,28675738,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7697,29328678,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2769,29942294,0,0,1,0,0,0,0,0,0,0,0,0,0,0
659,30281732,0,0,1,0,0,0,0,0,0,0,0,0,0,0
512,30539351,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7339,30988221,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3301,31224013,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10545,31262149,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3945,31300373,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9870,31329361,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2739,31336402,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1732,31443315,0,0,1,0,0,0,0,0,0,0,0,0,0,0
513,31464419,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2898,31606454,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4118,31968355,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4413,32070797,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8578,32158738,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9524,32222826,0,0,1,0,0,0,0,0,0,0,0,0,0,0
373,32422530,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4164,32539000,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4746,32713849,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4457,32849755,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2903,33070686,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6198,33184484,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4088,33341744,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1244,33557118,0,0,1,0,0,0,0,0,0,0,0,0,0,0
525,33591941,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3625,33711020,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6061,33854783,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6683,33911551,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2190,33949192,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3519,34156949,0,0,1,0,0,0,0,0,0,0,0,0,0,0
487,34308973,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9152,34336302,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6569,34338359,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7761,34478938,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10641,34485182,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6105,34488013,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7353,34594951,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2657,34859036,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8618,35189475,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10356,35507295,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3247,35710111,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2171,35754668,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4073,36005980,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9559,36042333,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4532,36132278,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2131,36139562,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1890,36369462,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9310,36395038,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3825,36725228,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,36733761,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4219,36777393,0,0,1,0,0,0,0,0,0,0,0,0,0,0
710,36942555,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4865,37008387,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5478,37044354,0,0,1,0,0,0,0,0,0,0,0,0,0,0
223,37209655,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3536,37465563,0,0,1,0,0,0,0,0,0,0,0,0,0,0
996,37546656,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9026,37561169,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8269,37613961,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2230,37764105,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10282,37799122,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5933,37969042,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7719,37980155,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3623,38165850,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1311,38281113,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4106,38288150,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1482,38320530,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3881,38352076,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2180,38505477,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9520,38511746,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10323,38540903,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2474,38548238,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1322,38554575,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4694,38674135,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5604,38701822,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10026,38811123,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8462,38825493,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1567,39002206,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7463,39019088,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3607,39127786,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8754,39143308,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7302,39188168,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9458,39246787,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8707,39292648,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6386,39335455,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8789,39480163,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10551,39699706,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6117,39841666,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1299,39937969,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76,40202850,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,40276684,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3704,40346860,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4878,40392969,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7421,40526050,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2349,40646403,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7286,40663615,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1022,40683017,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1661,40785339,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3038,40811130,0,0,1,0,0,0,0,0,0,0,0,0,0,0
937,40879574,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7362,40903936,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9280,40938246,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9676,40945083,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5773,40949409,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6368,40963750,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1408,40976939,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4690,41100381,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1410,41136686,0,0,1,0,0,0,0,0,0,0,0,0,0,0
692,41236820,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10149,41283700,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1038,41286099,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4260,41314826,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7914,41459814,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5649,41508861,0,0,1,0,0,0,0,0,0,0,0,0,0,0
663,41510472,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3946,41588677,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6668,41656637,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10755,41705752,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5174,41907640,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3642,41965571,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10766,42032805,0,0,1,0,0,0,0,0,0,0,0,0,0,0
