,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
1256,18121790,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6686,19877028,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8189,20112297,0,0,0,0,0,0,0,0,0,1,0,0,0,0
210,22353074,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5475,22520693,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9832,23119750,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1553,23279203,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6286,23384524,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1469,23517187,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1734,24486599,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6217,24638464,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2043,24743938,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7526,25402492,0,0,0,0,0,0,0,0,0,1,0,0,0,0
306,25672771,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6285,26180656,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6818,26204935,0,0,0,0,0,0,0,0,0,1,0,0,0,0
249,26594907,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9866,26599550,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2473,27084628,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4946,27105383,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5827,27581709,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6466,27763911,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9341,28003873,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8199,28648292,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3640,28931554,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6276,29583739,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4530,30040574,0,0,0,0,0,0,0,0,0,1,0,0,0,0
853,30271951,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6790,30438556,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4828,30445766,0,0,0,0,0,0,0,0,0,1,0,0,0,0
803,30633611,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3443,30686787,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9845,30765923,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1328,30869339,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8713,30966410,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2205,31188722,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6090,31324026,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6944,31465781,0,0,0,0,0,0,0,0,0,1,0,0,0,0
