,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
7105,14719264,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10142,15549415,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7199,16926974,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9448,17392811,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9840,17944504,0,0,0,0,0,0,0,0,0,0,0,0,1,0
678,21914490,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9413,22442275,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9087,22475590,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5419,24014318,0,0,0,0,0,0,0,0,0,0,0,0,1,0
998,24142099,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9894,24232534,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8806,24244261,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3842,24406670,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3892,24534601,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1520,24891647,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6652,25227048,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10112,25394151,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6352,25446820,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5536,26323620,0,0,0,0,0,0,0,0,0,0,0,0,1,0
784,26445797,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10443,27330117,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1438,27475222,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2254,27571319,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5819,27574596,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7125,27698797,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10538,27703918,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3142,28038873,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3778,28078059,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3634,28122342,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3145,28146407,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5788,28300192,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9996,28920621,0,0,0,0,0,0,0,0,0,0,0,0,1,0
207,29135749,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2651,29320930,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2974,29527330,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5416,29584514,0,0,0,0,0,0,0,0,0,0,0,0,1,0
226,29890548,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4540,30277412,0,0,0,0,0,0,0,0,0,0,0,0,1,0
397,30544027,0,0,0,0,0,0,0,0,0,0,0,0,1,0
81,31239752,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3480,31251883,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10738,31377801,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5091,31394689,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7540,31542129,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2383,31765427,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3195,31863617,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1956,32295104,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5573,32332659,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7378,32636750,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8802,32780726,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4335,33206792,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5196,33353791,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5279,33523171,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9304,33537008,0,0,0,0,0,0,0,0,0,0,0,0,1,0
476,33673161,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5238,33745489,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3896,33901830,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7025,34260297,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1901,34271454,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7489,34303533,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2361,34568942,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3530,34596811,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1579,34628890,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1168,34735806,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2104,34905539,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5790,34911682,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6855,35019166,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1911,35026460,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8144,35030531,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4020,35039240,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9097,35047454,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10319,35107843,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10191,35161091,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5813,35168171,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1413,35281666,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6107,35506265,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8108,35664688,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2794,35952712,0,0,0,0,0,0,0,0,0,0,0,0,1,0
994,35954908,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8512,36103547,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8692,36155502,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6763,36189555,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10499,36379295,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1046,36406172,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4311,36423183,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3993,36424763,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6291,36437717,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5366,36452426,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9876,36477778,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7642,36681433,0,0,0,0,0,0,0,0,0,0,0,0,1,0
592,36710185,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4107,36780525,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7061,36813403,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4143,36864245,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10339,36916241,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6078,36994379,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5850,37014416,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6200,37056747,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10637,37455368,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7775,37602759,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3823,37627064,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9837,37675229,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2067,37793412,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9577,37821466,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2517,37913193,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6112,38055422,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10413,38065182,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3300,38198459,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6562,38286010,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5166,38481259,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3114,38488913,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7545,38590564,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2947,38633443,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6305,38962182,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6940,38962385,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8569,38985432,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6960,39029638,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7003,39261149,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5996,39270043,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10279,39279941,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1749,39299935,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2723,39333402,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9726,39422300,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1843,39435066,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011,39495991,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5046,39504806,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3784,39627721,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1899,39660752,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3992,39678147,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2144,39704229,0,0,0,0,0,0,0,0,0,0,0,0,1,0
253,39831261,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2629,39873678,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5118,39899361,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6611,39979098,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9812,40008528,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3695,40055668,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5577,40096563,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3271,40106805,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7856,40145460,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8266,40196919,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10183,40207065,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6632,40219149,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10729,40229831,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3260,40517255,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1460,40554485,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2130,40700735,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8723,40846348,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5109,40878197,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10695,41068295,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2236,41086973,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3281,41136806,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3303,41226307,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4383,41274240,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5787,41316390,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9420,41428483,0,0,0,0,0,0,0,0,0,0,0,0,1,0
310,41462152,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7996,41463020,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8990,41693290,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10404,41744445,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5256,41766116,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7644,41797087,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1602,41861759,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4550,42022712,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4446,42035905,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9440,42036126,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9325,42086020,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4488,42138548,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6758,42218566,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3780,42239827,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9950,42260524,0,0,0,0,0,0,0,0,0,0,0,0,1,0
782,42292608,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7369,42420489,0,0,0,0,0,0,0,0,0,0,0,0,1,0
