,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
8333,13726877,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7155,14146922,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10142,15549415,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9448,17392811,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6416,18248130,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1385,20011053,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8189,20112297,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2308,20560258,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3049,21056653,0,1,0,0,0,0,0,0,0,0,0,0,0,0
678,21914490,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3649,22511256,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3569,22842907,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6286,23384524,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5419,24014318,0,1,0,0,0,0,0,0,0,0,0,0,0,0
998,24142099,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8806,24244261,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4210,24328117,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2492,24492100,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6605,24828131,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1520,24891647,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1058,24892606,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7526,25402492,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6352,25446820,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10616,26173143,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5536,26323620,0,1,0,0,0,0,0,0,0,0,0,0,0,0
784,26445797,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7841,26509122,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4086,26981110,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4946,27105383,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6501,27189188,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1535,27293339,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5819,27574596,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5827,27581709,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10538,27703918,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6466,27763911,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1092,27790158,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2266,27996679,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3142,28038873,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3145,28146407,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2464,28264863,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5788,28300192,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4771,28844052,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9996,28920621,0,1,0,0,0,0,0,0,0,0,0,0,0,0
421,29078304,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2974,29527330,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6276,29583739,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5416,29584514,0,1,0,0,0,0,0,0,0,0,0,0,0,0
226,29890548,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6937,29900241,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2769,29942294,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6280,30036216,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4530,30040574,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5105,30063806,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3598,30165928,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6634,30265797,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4828,30445766,0,1,0,0,0,0,0,0,0,0,0,0,0,0
803,30633611,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9845,30765923,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81,31239752,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3480,31251883,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6090,31324026,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10738,31377801,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6354,31423855,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7540,31542129,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2383,31765427,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9677,31810694,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3195,31863617,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9906,32127115,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1956,32295104,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7817,32298500,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1237,32557557,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8802,32780726,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10434,33077838,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4088,33341744,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9180,33355170,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5279,33523171,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5238,33745489,0,1,0,0,0,0,0,0,0,0,0,0,0,0
320,33899375,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3077,33944837,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1135,33956076,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9813,34082801,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1674,34125452,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10597,34472046,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3530,34596811,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1168,34735806,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4904,34898257,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4020,35039240,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6687,35088496,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10319,35107843,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1673,35122014,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5813,35168171,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8642,35201478,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4760,35393558,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2894,35422091,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4227,35447035,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3741,35548060,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8108,35664688,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37,35765936,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10206,35866816,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1238,35962868,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1977,35963971,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8529,35981859,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8512,36103547,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6763,36189555,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1215,36295145,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5748,36301360,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4311,36423183,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3993,36424763,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6496,36505404,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6161,36547966,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5017,36633868,0,1,0,0,0,0,0,0,0,0,0,0,0,0
592,36710185,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2385,36859984,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7035,37001578,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5850,37014416,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1796,37084531,0,1,0,0,0,0,0,0,0,0,0,0,0,0
