,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
16008,1000ch_whale_8,0,0,0,0,0,1,0,0,0,0,0,0,0
52907,720kb_ndm_132,0,0,0,0,0,1,0,0,0,0,0,0,0
25263,720kb_ndm_139,0,0,0,0,0,1,0,0,0,0,0,0,0
69480,720kb_ndm_146,0,0,0,0,0,1,0,0,0,0,0,0,0
8318,720kb_ndm_158,0,0,0,0,0,1,0,0,0,0,0,0,0
30885,720kb_ndm_17,0,0,0,0,0,1,0,0,0,0,0,0,0
2516,720kb_ndm_173,0,0,0,0,0,1,0,0,0,0,0,0,0
14032,720kb_ndm_175,0,0,0,0,0,1,0,0,0,0,0,0,0
80514,720kb_ndm_197,0,0,0,0,0,1,0,0,0,0,0,0,0
56945,720kb_ndm_269,0,0,0,0,0,1,0,0,0,0,0,0,0
18192,720kb_ndm_3,0,0,0,0,0,1,0,0,0,0,0,0,0
53084,720kb_ndm_37,0,0,0,0,0,1,0,0,0,0,0,0,0
86684,720kb_ndm_47,0,0,0,0,0,1,0,0,0,0,0,0,0
75088,720kb_ndm_68,0,0,0,0,0,1,0,0,0,0,0,0,0
8372,720kb_ndm_75,0,0,0,0,0,1,0,0,0,0,0,0,0
82525,720kb_ndm_8,0,0,0,0,0,1,0,0,0,0,0,0,0
74885,720kb_ndm_83,0,0,0,0,0,1,0,0,0,0,0,0,0
70260,720kb_ndm_95,0,0,0,0,0,1,0,0,0,0,0,0,0
72052,AlduinApp_alduin_116,0,0,0,0,0,1,0,0,0,0,0,0,0
10800,AlduinApp_alduin_120,0,0,0,0,0,1,0,0,0,0,0,0,0
30778,AlduinApp_alduin_13,0,0,0,0,0,1,0,0,0,0,0,0,0
85836,AlduinApp_alduin_80,0,0,0,0,0,1,0,0,0,0,0,0,0
36150,AppSaloon_socket.io-tester_21,0,0,0,0,0,1,0,0,0,0,0,0,0
36759,AppSaloon_socket.io-tester_34,0,0,0,0,0,1,0,0,0,0,0,0,0
19944,Atraci_Atraci_115,0,0,0,0,0,1,0,0,0,0,0,0,0
49199,Atraci_Atraci_17,0,0,0,0,0,1,0,0,0,0,0,0,0
63654,Atraci_Atraci_181,0,0,0,0,0,1,0,0,0,0,0,0,0
64827,Atraci_Atraci_194,0,0,0,0,0,1,0,0,0,0,0,0,0
34744,Atraci_Atraci_216,0,0,0,0,0,1,0,0,0,0,0,0,0
