,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
75031,720kb_ndm_145,0,0,0,0,0,0,0,0,0,0,0,1,0
75359,720kb_ndm_55,0,0,0,0,0,0,0,0,0,0,0,1,0
11837,AlduinApp_alduin_130,0,0,0,0,0,0,0,0,0,0,0,1,0
14334,AppSaloon_socket.io-tester_43,0,0,0,0,0,0,0,0,0,0,0,1,0
1353,Atraci_Atraci_273,0,0,0,0,0,0,0,0,0,0,0,1,0
12371,Atraci_Atraci_275,0,0,0,0,0,0,0,0,0,0,0,1,0
4734,Atraci_Atraci_82,0,0,0,0,0,0,0,0,0,0,0,1,0
57723,Automattic_simplenote-electron_1003,0,0,0,0,0,0,0,0,0,0,0,1,0
53846,Automattic_simplenote-electron_1007,0,0,0,0,0,0,0,0,0,0,0,1,0
20566,Automattic_simplenote-electron_1057,0,0,0,0,0,0,0,0,0,0,0,1,0
36517,Automattic_simplenote-electron_1209,0,0,0,0,0,0,0,0,0,0,0,1,0
8391,Automattic_simplenote-electron_1520,0,0,0,0,0,0,0,0,0,0,0,1,0
41854,Automattic_simplenote-electron_1579,0,0,0,0,0,0,0,0,0,0,0,1,0
73231,Automattic_simplenote-electron_1844,0,0,0,0,0,0,0,0,0,0,0,1,0
73816,Automattic_simplenote-electron_238,0,0,0,0,0,0,0,0,0,0,0,1,0
45829,Automattic_simplenote-electron_270,0,0,0,0,0,0,0,0,0,0,0,1,0
32794,Automattic_simplenote-electron_290,0,0,0,0,0,0,0,0,0,0,0,1,0
59480,Automattic_simplenote-electron_317,0,0,0,0,0,0,0,0,0,0,0,1,0
29827,Automattic_simplenote-electron_332,0,0,0,0,0,0,0,0,0,0,0,1,0
72343,Automattic_simplenote-electron_789,0,0,0,0,0,0,0,0,0,0,0,1,0
3316,Automattic_simplenote-electron_804,0,0,0,0,0,0,0,0,0,0,0,1,0
57362,BoostIO_BoostNote.next_258,0,0,0,0,0,0,0,0,0,0,0,1,0
31297,BoostIO_BoostNote.next_6,0,0,0,0,0,0,0,0,0,0,0,1,0
56742,BoostIO_Boostnote_1213,0,0,0,0,0,0,0,0,0,0,0,1,0
51830,BoostIO_Boostnote_1376,0,0,0,0,0,0,0,0,0,0,0,1,0
54405,BoostIO_Boostnote_153,0,0,0,0,0,0,0,0,0,0,0,1,0
