,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
55982,720kb_ndm_124,0,0,0,0,0,0,0,1,0,0,0,0,0
36253,720kb_ndm_17,0,0,0,0,0,0,0,1,0,0,0,0,0
75172,720kb_ndm_18,0,0,0,0,0,0,0,1,0,0,0,0,0
2824,720kb_ndm_198,0,0,0,0,0,0,0,1,0,0,0,0,0
5286,720kb_ndm_204,0,0,0,0,0,0,0,1,0,0,0,0,0
102994,720kb_ndm_208,0,0,0,0,0,0,0,1,0,0,0,0,0
90109,720kb_ndm_226,0,0,0,0,0,0,0,1,0,0,0,0,0
75355,720kb_ndm_24,0,0,0,0,0,0,0,1,0,0,0,0,0
29957,720kb_ndm_28,0,0,0,0,0,0,0,1,0,0,0,0,0
75521,720kb_ndm_30,0,0,0,0,0,0,0,1,0,0,0,0,0
81528,720kb_ndm_57,0,0,0,0,0,0,0,1,0,0,0,0,0
100501,720kb_ndm_85,0,0,0,0,0,0,0,1,0,0,0,0,0
87665,720kb_ndm_97,0,0,0,0,0,0,0,1,0,0,0,0,0
85405,AiursoftWeb_Kahla.App_110,0,0,0,0,0,0,0,1,0,0,0,0,0
51989,AiursoftWeb_Kahla.App_169,0,0,0,0,0,0,0,1,0,0,0,0,0
27126,AiursoftWeb_Kahla.App_179,0,0,0,0,0,0,0,1,0,0,0,0,0
15150,AiursoftWeb_Kahla.App_295,0,0,0,0,0,0,0,1,0,0,0,0,0
51373,AiursoftWeb_Kahla.App_394,0,0,0,0,0,0,0,1,0,0,0,0,0
40987,AiursoftWeb_Kahla.App_433,0,0,0,0,0,0,0,1,0,0,0,0,0
14690,AiursoftWeb_Kahla.App_444,0,0,0,0,0,0,0,1,0,0,0,0,0
18320,AiursoftWeb_Kahla.App_445,0,0,0,0,0,0,0,1,0,0,0,0,0
24800,AiursoftWeb_Kahla.App_446,0,0,0,0,0,0,0,1,0,0,0,0,0
89258,AiursoftWeb_Kahla.App_501,0,0,0,0,0,0,0,1,0,0,0,0,0
16363,AiursoftWeb_Kahla.App_52,0,0,0,0,0,0,0,1,0,0,0,0,0
54895,AiursoftWeb_Kahla.App_548,0,0,0,0,0,0,0,1,0,0,0,0,0
19155,AiursoftWeb_Kahla.App_647,0,0,0,0,0,0,0,1,0,0,0,0,0
85484,AiursoftWeb_Kahla.App_676,0,0,0,0,0,0,0,1,0,0,0,0,0
