,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
55484,720kb_ndm_125,0,0,0,0,0,0,0,0,0,1,0,0,0
62534,720kb_ndm_133,0,0,0,0,0,0,0,0,0,1,0,0,0
88412,720kb_ndm_150,0,0,0,0,0,0,0,0,0,1,0,0,0
88364,720kb_ndm_178,0,0,0,0,0,0,0,0,0,1,0,0,0
96477,720kb_ndm_237,0,0,0,0,0,0,0,0,0,1,0,0,0
68901,720kb_ndm_33,0,0,0,0,0,0,0,0,0,1,0,0,0
55848,720kb_ndm_35,0,0,0,0,0,0,0,0,0,1,0,0,0
95392,720kb_ndm_93,0,0,0,0,0,0,0,0,0,1,0,0,0
61360,AiursoftWeb_Kahla.App_239,0,0,0,0,0,0,0,0,0,1,0,0,0
4417,AiursoftWeb_Kahla.App_251,0,0,0,0,0,0,0,0,0,1,0,0,0
41812,AiursoftWeb_Kahla.App_547,0,0,0,0,0,0,0,0,0,1,0,0,0
69681,AiursoftWeb_Kahla.App_573,0,0,0,0,0,0,0,0,0,1,0,0,0
78917,AiursoftWeb_Kahla.App_661,0,0,0,0,0,0,0,0,0,1,0,0,0
85283,AiursoftWeb_Kahla.App_689,0,0,0,0,0,0,0,0,0,1,0,0,0
101525,AiursoftWeb_Kahla.App_739,0,0,0,0,0,0,0,0,0,1,0,0,0
12761,AlduinApp_alduin_134,0,0,0,0,0,0,0,0,0,1,0,0,0
62350,AppSaloon_socket.io-tester_10,0,0,0,0,0,0,0,0,0,1,0,0,0
68913,Atraci_Atraci_154,0,0,0,0,0,0,0,0,0,1,0,0,0
11617,Atraci_Atraci_265,0,0,0,0,0,0,0,0,0,1,0,0,0
1502,Atraci_Atraci_267,0,0,0,0,0,0,0,0,0,1,0,0,0
51023,Atraci_Atraci_33,0,0,0,0,0,0,0,0,0,1,0,0,0
37073,Automattic_simplenote-electron_1026,0,0,0,0,0,0,0,0,0,1,0,0,0
3291,Automattic_simplenote-electron_1251,0,0,0,0,0,0,0,0,0,1,0,0,0
45383,Automattic_simplenote-electron_1355,0,0,0,0,0,0,0,0,0,1,0,0,0
58276,Automattic_simplenote-electron_1414,0,0,0,0,0,0,0,0,0,1,0,0,0
38727,Automattic_simplenote-electron_1436,0,0,0,0,0,0,0,0,0,1,0,0,0
35067,Automattic_simplenote-electron_1769,0,0,0,0,0,0,0,0,0,1,0,0,0
8282,Automattic_simplenote-electron_1911,0,0,0,0,0,0,0,0,0,1,0,0,0
21280,Automattic_simplenote-electron_551,0,0,0,0,0,0,0,0,0,1,0,0,0
94508,Automattic_simplenote-electron_8,0,0,0,0,0,0,0,0,0,1,0,0,0
17221,Automattic_simplenote-electron_802,0,0,0,0,0,0,0,0,0,1,0,0,0
101879,Automattic_simplenote-electron_820,0,0,0,0,0,0,0,0,0,1,0,0,0
74411,Automattic_simplenote-electron_842,0,0,0,0,0,0,0,0,0,1,0,0,0
97446,Automattic_simplenote-electron_980,0,0,0,0,0,0,0,0,0,1,0,0,0
64593,BoostIO_BoostNote.next_300,0,0,0,0,0,0,0,0,0,1,0,0,0
19048,BoostIO_Boostnote_1085,0,0,0,0,0,0,0,0,0,1,0,0,0
35760,BoostIO_Boostnote_1169,0,0,0,0,0,0,0,0,0,1,0,0,0
93237,BoostIO_Boostnote_120,0,0,0,0,0,0,0,0,0,1,0,0,0
21284,BoostIO_Boostnote_1285,0,0,0,0,0,0,0,0,0,1,0,0,0
35045,BoostIO_Boostnote_1380,0,0,0,0,0,0,0,0,0,1,0,0,0
37762,BoostIO_Boostnote_1424,0,0,0,0,0,0,0,0,0,1,0,0,0
34765,BoostIO_Boostnote_1431,0,0,0,0,0,0,0,0,0,1,0,0,0
5580,BoostIO_Boostnote_1530,0,0,0,0,0,0,0,0,0,1,0,0,0
9119,BoostIO_Boostnote_1644,0,0,0,0,0,0,0,0,0,1,0,0,0
15822,BoostIO_Boostnote_1669,0,0,0,0,0,0,0,0,0,1,0,0,0
94189,BoostIO_Boostnote_1674,0,0,0,0,0,0,0,0,0,1,0,0,0
78373,BoostIO_Boostnote_1706,0,0,0,0,0,0,0,0,0,1,0,0,0
29482,BoostIO_Boostnote_1817,0,0,0,0,0,0,0,0,0,1,0,0,0
75427,BoostIO_Boostnote_1826,0,0,0,0,0,0,0,0,0,1,0,0,0
41931,BoostIO_Boostnote_2317,0,0,0,0,0,0,0,0,0,1,0,0,0
95466,BoostIO_Boostnote_2354,0,0,0,0,0,0,0,0,0,1,0,0,0
68885,BoostIO_Boostnote_2486,0,0,0,0,0,0,0,0,0,1,0,0,0
78186,BoostIO_Boostnote_2526,0,0,0,0,0,0,0,0,0,1,0,0,0
19948,BoostIO_Boostnote_2565,0,0,0,0,0,0,0,0,0,1,0,0,0
76044,BoostIO_Boostnote_2877,0,0,0,0,0,0,0,0,0,1,0,0,0
74708,BoostIO_Boostnote_3017,0,0,0,0,0,0,0,0,0,1,0,0,0
101911,BoostIO_Boostnote_308,0,0,0,0,0,0,0,0,0,1,0,0,0
26473,BoostIO_Boostnote_3147,0,0,0,0,0,0,0,0,0,1,0,0,0
39814,BoostIO_Boostnote_3155,0,0,0,0,0,0,0,0,0,1,0,0,0
50668,BoostIO_Boostnote_3209,0,0,0,0,0,0,0,0,0,1,0,0,0
63715,BoostIO_Boostnote_48,0,0,0,0,0,0,0,0,0,1,0,0,0
44211,BoostIO_Boostnote_50,0,0,0,0,0,0,0,0,0,1,0,0,0
38461,BoostIO_Boostnote_760,0,0,0,0,0,0,0,0,0,1,0,0,0
68000,CodeF0x_violin_113,0,0,0,0,0,0,0,0,0,1,0,0,0
17216,CodeF0x_violin_150,0,0,0,0,0,0,0,0,0,1,0,0,0
23183,DextApp_dext_11,0,0,0,0,0,0,0,0,0,1,0,0,0
83299,DextApp_dext_127,0,0,0,0,0,0,0,0,0,1,0,0,0
83421,DextApp_dext_133,0,0,0,0,0,0,0,0,0,1,0,0,0
94645,DextApp_dext_26,0,0,0,0,0,0,0,0,0,1,0,0,0
75554,DextApp_dext_90,0,0,0,0,0,0,0,0,0,1,0,0,0
47715,DokiDokiModManager_Mod-Manager_59,0,0,0,0,0,0,0,0,0,1,0,0,0
20403,DracotMolver_Soube_10,0,0,0,0,0,0,0,0,0,1,0,0,0
51022,Dyalog_ride_151,0,0,0,0,0,0,0,0,0,1,0,0,0
67008,Dyalog_ride_172,0,0,0,0,0,0,0,0,0,1,0,0,0
33961,Dyalog_ride_195,0,0,0,0,0,0,0,0,0,1,0,0,0
32024,Dyalog_ride_197,0,0,0,0,0,0,0,0,0,1,0,0,0
5897,Dyalog_ride_309,0,0,0,0,0,0,0,0,0,1,0,0,0
45180,Dyalog_ride_350,0,0,0,0,0,0,0,0,0,1,0,0,0
58224,Dyalog_ride_439,0,0,0,0,0,0,0,0,0,1,0,0,0
20554,Dyalog_ride_443,0,0,0,0,0,0,0,0,0,1,0,0,0
14022,Dyalog_ride_454,0,0,0,0,0,0,0,0,0,1,0,0,0
6719,Dyalog_ride_492,0,0,0,0,0,0,0,0,0,1,0,0,0
42601,Dyalog_ride_543,0,0,0,0,0,0,0,0,0,1,0,0,0
102386,Dyalog_ride_63,0,0,0,0,0,0,0,0,0,1,0,0,0
99614,EragonJ_Kaku_118,0,0,0,0,0,0,0,0,0,1,0,0,0
93314,EragonJ_Kaku_127,0,0,0,0,0,0,0,0,0,1,0,0,0
1863,EragonJ_Kaku_128,0,0,0,0,0,0,0,0,0,1,0,0,0
4686,EragonJ_Kaku_129,0,0,0,0,0,0,0,0,0,1,0,0,0
74114,EragonJ_Kaku_190,0,0,0,0,0,0,0,0,0,1,0,0,0
32830,EragonJ_Kaku_200,0,0,0,0,0,0,0,0,0,1,0,0,0
39692,EragonJ_Kaku_213,0,0,0,0,0,0,0,0,0,1,0,0,0
47331,EragonJ_Kaku_23,0,0,0,0,0,0,0,0,0,1,0,0,0
101663,EragonJ_Kaku_333,0,0,0,0,0,0,0,0,0,1,0,0,0
55120,EragonJ_Kaku_368,0,0,0,0,0,0,0,0,0,1,0,0,0
100570,EragonJ_Kaku_454,0,0,0,0,0,0,0,0,0,1,0,0,0
20066,EragonJ_Kaku_501,0,0,0,0,0,0,0,0,0,1,0,0,0
99156,EragonJ_Kaku_75,0,0,0,0,0,0,0,0,0,1,0,0,0
96560,EragonJ_Kaku_77,0,0,0,0,0,0,0,0,0,1,0,0,0
5232,EragonJ_Kaku_78,0,0,0,0,0,0,0,0,0,1,0,0,0
96732,EragonJ_Kaku_88,0,0,0,0,0,0,0,0,0,1,0,0,0
72675,Eugeny_terminus_108,0,0,0,0,0,0,0,0,0,1,0,0,0
40619,Eugeny_terminus_116,0,0,0,0,0,0,0,0,0,1,0,0,0
35283,Eugeny_terminus_1181,0,0,0,0,0,0,0,0,0,1,0,0,0
54274,Eugeny_terminus_12,0,0,0,0,0,0,0,0,0,1,0,0,0
78704,Eugeny_terminus_1275,0,0,0,0,0,0,0,0,0,1,0,0,0
49551,Eugeny_terminus_1390,0,0,0,0,0,0,0,0,0,1,0,0,0
58751,Eugeny_terminus_1565,0,0,0,0,0,0,0,0,0,1,0,0,0
12177,Eugeny_terminus_1732,0,0,0,0,0,0,0,0,0,1,0,0,0
102788,Eugeny_terminus_181,0,0,0,0,0,0,0,0,0,1,0,0,0
86310,Eugeny_terminus_192,0,0,0,0,0,0,0,0,0,1,0,0,0
57626,Eugeny_terminus_1954,0,0,0,0,0,0,0,0,0,1,0,0,0
20125,Eugeny_terminus_2002,0,0,0,0,0,0,0,0,0,1,0,0,0
71155,Eugeny_terminus_2095,0,0,0,0,0,0,0,0,0,1,0,0,0
