,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
44174,1000ch_whale_12,0,1,0,0,0,0,0,0,0,0,0,0,0
22806,1000ch_whale_16,0,1,0,0,0,0,0,0,0,0,0,0,0
27691,1000ch_whale_17,0,1,0,0,0,0,0,0,0,0,0,0,0
45188,1000ch_whale_23,0,1,0,0,0,0,0,0,0,0,0,0,0
71716,1000ch_whale_7,0,1,0,0,0,0,0,0,0,0,0,0,0
209,29decibel_assistant_1,0,1,0,0,0,0,0,0,0,0,0,0,0
8859,4gray_oversetter_6,0,1,0,0,0,0,0,0,0,0,0,0,0
15572,720kb_ndm_1,0,1,0,0,0,0,0,0,0,0,0,0,0
31149,720kb_ndm_106,0,1,0,0,0,0,0,0,0,0,0,0,0
30488,720kb_ndm_107,0,1,0,0,0,0,0,0,0,0,0,0,0
63894,720kb_ndm_108,0,1,0,0,0,0,0,0,0,0,0,0,0
64506,720kb_ndm_109,0,1,0,0,0,0,0,0,0,0,0,0,0
24870,720kb_ndm_110,0,1,0,0,0,0,0,0,0,0,0,0,0
75713,720kb_ndm_144,0,1,0,0,0,0,0,0,0,0,0,0,0
86273,720kb_ndm_157,0,1,0,0,0,0,0,0,0,0,0,0,0
8154,720kb_ndm_164,0,1,0,0,0,0,0,0,0,0,0,0,0
80681,720kb_ndm_168,0,1,0,0,0,0,0,0,0,0,0,0,0
8664,720kb_ndm_171,0,1,0,0,0,0,0,0,0,0,0,0,0
3193,720kb_ndm_172,0,1,0,0,0,0,0,0,0,0,0,0,0
70277,720kb_ndm_184,0,1,0,0,0,0,0,0,0,0,0,0,0
18944,720kb_ndm_189,0,1,0,0,0,0,0,0,0,0,0,0,0
86902,720kb_ndm_195,0,1,0,0,0,0,0,0,0,0,0,0,0
3207,720kb_ndm_199,0,1,0,0,0,0,0,0,0,0,0,0,0
73596,720kb_ndm_233,0,1,0,0,0,0,0,0,0,0,0,0,0
47375,720kb_ndm_34,0,1,0,0,0,0,0,0,0,0,0,0,0
75857,720kb_ndm_82,0,1,0,0,0,0,0,0,0,0,0,0,0
6125,AlduinApp_alduin_121,0,1,0,0,0,0,0,0,0,0,0,0,0
70182,AlduinApp_alduin_84,0,1,0,0,0,0,0,0,0,0,0,0,0
62347,Allow2_Allow2Automate_3,0,1,0,0,0,0,0,0,0,0,0,0,0
53208,AppSaloon_socket.io-tester_10,0,1,0,0,0,0,0,0,0,0,0,0,0
41652,AppSaloon_socket.io-tester_22,0,1,0,0,0,0,0,0,0,0,0,0,0
25041,AppSaloon_socket.io-tester_27,0,1,0,0,0,0,0,0,0,0,0,0,0
19940,AppSaloon_socket.io-tester_40,0,1,0,0,0,0,0,0,0,0,0,0,0
86615,Atraci_Atraci_120,0,1,0,0,0,0,0,0,0,0,0,0,0
19793,Atraci_Atraci_129,0,1,0,0,0,0,0,0,0,0,0,0,0
69592,Atraci_Atraci_130,0,1,0,0,0,0,0,0,0,0,0,0,0
53117,Atraci_Atraci_151,0,1,0,0,0,0,0,0,0,0,0,0,0
58426,Atraci_Atraci_155,0,1,0,0,0,0,0,0,0,0,0,0,0
30540,Atraci_Atraci_159,0,1,0,0,0,0,0,0,0,0,0,0,0
41604,Atraci_Atraci_177,0,1,0,0,0,0,0,0,0,0,0,0,0
64758,Atraci_Atraci_180,0,1,0,0,0,0,0,0,0,0,0,0,0
29121,Atraci_Atraci_20,0,1,0,0,0,0,0,0,0,0,0,0,0
40527,Atraci_Atraci_229,0,1,0,0,0,0,0,0,0,0,0,0,0
76939,Atraci_Atraci_278,0,1,0,0,0,0,0,0,0,0,0,0,0
84355,Atraci_Atraci_280,0,1,0,0,0,0,0,0,0,0,0,0,0
29232,Atraci_Atraci_34,0,1,0,0,0,0,0,0,0,0,0,0,0
32462,Atraci_Atraci_35,0,1,0,0,0,0,0,0,0,0,0,0,0
36464,Atraci_Atraci_4,0,1,0,0,0,0,0,0,0,0,0,0,0
71311,Atraci_Atraci_60,0,1,0,0,0,0,0,0,0,0,0,0,0
73663,Atraci_Atraci_76,0,1,0,0,0,0,0,0,0,0,0,0,0
77108,Atraci_Atraci_88,0,1,0,0,0,0,0,0,0,0,0,0,0
31601,Automattic_simplenote-electron_1032,0,1,0,0,0,0,0,0,0,0,0,0,0
13209,Automattic_simplenote-electron_1041,0,1,0,0,0,0,0,0,0,0,0,0,0
9310,Automattic_simplenote-electron_1051,0,1,0,0,0,0,0,0,0,0,0,0,0
18735,Automattic_simplenote-electron_1056,0,1,0,0,0,0,0,0,0,0,0,0,0
76186,Automattic_simplenote-electron_1070,0,1,0,0,0,0,0,0,0,0,0,0,0
87350,Automattic_simplenote-electron_1076,0,1,0,0,0,0,0,0,0,0,0,0,0
85565,Automattic_simplenote-electron_1077,0,1,0,0,0,0,0,0,0,0,0,0,0
9532,Automattic_simplenote-electron_1086,0,1,0,0,0,0,0,0,0,0,0,0,0
18367,Automattic_simplenote-electron_1095,0,1,0,0,0,0,0,0,0,0,0,0,0
26735,Automattic_simplenote-electron_1151,0,1,0,0,0,0,0,0,0,0,0,0,0
28946,Automattic_simplenote-electron_1184,0,1,0,0,0,0,0,0,0,0,0,0,0
56861,Automattic_simplenote-electron_1188,0,1,0,0,0,0,0,0,0,0,0,0,0
44009,Automattic_simplenote-electron_1197,0,1,0,0,0,0,0,0,0,0,0,0,0
36057,Automattic_simplenote-electron_1234,0,1,0,0,0,0,0,0,0,0,0,0,0
69379,Automattic_simplenote-electron_1258,0,1,0,0,0,0,0,0,0,0,0,0,0
44851,Automattic_simplenote-electron_1398,0,1,0,0,0,0,0,0,0,0,0,0,0
61817,Automattic_simplenote-electron_1404,0,1,0,0,0,0,0,0,0,0,0,0,0
44087,Automattic_simplenote-electron_1418,0,1,0,0,0,0,0,0,0,0,0,0,0
27469,Automattic_simplenote-electron_1435,0,1,0,0,0,0,0,0,0,0,0,0,0
77614,Automattic_simplenote-electron_1448,0,1,0,0,0,0,0,0,0,0,0,0,0
6257,Automattic_simplenote-electron_1454,0,1,0,0,0,0,0,0,0,0,0,0,0
5065,Automattic_simplenote-electron_1456,0,1,0,0,0,0,0,0,0,0,0,0,0
591,Automattic_simplenote-electron_1457,0,1,0,0,0,0,0,0,0,0,0,0,0
8450,Automattic_simplenote-electron_1521,0,1,0,0,0,0,0,0,0,0,0,0,0
80897,Automattic_simplenote-electron_1538,0,1,0,0,0,0,0,0,0,0,0,0,0
42300,Automattic_simplenote-electron_1544,0,1,0,0,0,0,0,0,0,0,0,0,0
64348,Automattic_simplenote-electron_1559,0,1,0,0,0,0,0,0,0,0,0,0,0
53110,Automattic_simplenote-electron_1562,0,1,0,0,0,0,0,0,0,0,0,0,0
58798,Automattic_simplenote-electron_1566,0,1,0,0,0,0,0,0,0,0,0,0,0
58375,Automattic_simplenote-electron_1567,0,1,0,0,0,0,0,0,0,0,0,0,0
47509,Automattic_simplenote-electron_1575,0,1,0,0,0,0,0,0,0,0,0,0,0
