,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12
17664,Atraci_Atraci_160,1,0,0,0,0,0,0,0,0,0,0,0
17672,Atraci_Atraci_173,1,0,0,0,0,0,0,0,0,0,0,0
17710,Atraci_Atraci_219,1,0,0,0,0,0,0,0,0,0,0,0
17724,Atraci_Atraci_243,1,0,0,0,0,0,0,0,0,0,0,0
17731,Atraci_Atraci_253,1,0,0,0,0,0,0,0,0,0,0,0
17733,Atraci_Atraci_255,1,0,0,0,0,0,0,0,0,0,0,0
17746,Atraci_Atraci_272,1,0,0,0,0,0,0,0,0,0,0,0
17750,Atraci_Atraci_276,1,0,0,0,0,0,0,0,0,0,0,0
17756,Atraci_Atraci_284,1,0,0,0,0,0,0,0,0,0,0,0
17769,Atraci_Atraci_48,1,0,0,0,0,0,0,0,0,0,0,0
17789,Atraci_Atraci_72,1,0,0,0,0,0,0,0,0,0,0,0
17793,Atraci_Atraci_82,1,0,0,0,0,0,0,0,0,0,0,0
17799,Atraci_Atraci_9,1,0,0,0,0,0,0,0,0,0,0,0
17802,Atraci_Atraci_95,1,0,0,0,0,0,0,0,0,0,0,0
17814,Automattic_simplenote-electron_1006,1,0,0,0,0,0,0,0,0,0,0,0
17844,Automattic_simplenote-electron_1051,1,0,0,0,0,0,0,0,0,0,0,0
17865,Automattic_simplenote-electron_1092,1,0,0,0,0,0,0,0,0,0,0,0
17874,Automattic_simplenote-electron_1102,1,0,0,0,0,0,0,0,0,0,0,0
17904,Automattic_simplenote-electron_1151,1,0,0,0,0,0,0,0,0,0,0,0
17919,Automattic_simplenote-electron_1178,1,0,0,0,0,0,0,0,0,0,0,0
17920,Automattic_simplenote-electron_1179,1,0,0,0,0,0,0,0,0,0,0,0
17921,Automattic_simplenote-electron_1181,1,0,0,0,0,0,0,0,0,0,0,0
17924,Automattic_simplenote-electron_1184,1,0,0,0,0,0,0,0,0,0,0,0
17927,Automattic_simplenote-electron_1187,1,0,0,0,0,0,0,0,0,0,0,0
17930,Automattic_simplenote-electron_1190,1,0,0,0,0,0,0,0,0,0,0,0
17931,Automattic_simplenote-electron_1191,1,0,0,0,0,0,0,0,0,0,0,0
17934,Automattic_simplenote-electron_1197,1,0,0,0,0,0,0,0,0,0,0,0
17941,Automattic_simplenote-electron_1208,1,0,0,0,0,0,0,0,0,0,0,0
17989,Automattic_simplenote-electron_1315,1,0,0,0,0,0,0,0,0,0,0,0
17996,Automattic_simplenote-electron_1372,1,0,0,0,0,0,0,0,0,0,0,0
18001,Automattic_simplenote-electron_1393,1,0,0,0,0,0,0,0,0,0,0,0
18010,Automattic_simplenote-electron_1407,1,0,0,0,0,0,0,0,0,0,0,0
18024,Automattic_simplenote-electron_1436,1,0,0,0,0,0,0,0,0,0,0,0
18032,Automattic_simplenote-electron_1454,1,0,0,0,0,0,0,0,0,0,0,0
18077,Automattic_simplenote-electron_1601,1,0,0,0,0,0,0,0,0,0,0,0
18101,Automattic_simplenote-electron_1674,1,0,0,0,0,0,0,0,0,0,0,0
18117,Automattic_simplenote-electron_1701,1,0,0,0,0,0,0,0,0,0,0,0
18118,Automattic_simplenote-electron_1706,1,0,0,0,0,0,0,0,0,0,0,0
18129,Automattic_simplenote-electron_1733,1,0,0,0,0,0,0,0,0,0,0,0
18150,Automattic_simplenote-electron_1775,1,0,0,0,0,0,0,0,0,0,0,0
