,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
34289,1000ch_whale_10,0,0,0,0,0,0,0,0,1,0,0,0,0
75228,720kb_ndm_179,0,0,0,0,0,0,0,0,1,0,0,0,0
74903,720kb_ndm_97,0,0,0,0,0,0,0,0,1,0,0,0,0
17429,AlduinApp_alduin_133,0,0,0,0,0,0,0,0,1,0,0,0,0
75653,AlduinApp_alduin_78,0,0,0,0,0,0,0,0,1,0,0,0,0
50056,AnotherNote_anote_13,0,0,0,0,0,0,0,0,1,0,0,0,0
64388,AppSaloon_socket.io-tester_16,0,0,0,0,0,0,0,0,1,0,0,0,0
2681,Atraci_Atraci_111,0,0,0,0,0,0,0,0,1,0,0,0,0
19344,Atraci_Atraci_114,0,0,0,0,0,0,0,0,1,0,0,0,0
48969,Atraci_Atraci_230,0,0,0,0,0,0,0,0,1,0,0,0,0
4424,Atraci_Atraci_41,0,0,0,0,0,0,0,0,1,0,0,0,0
760,Atraci_Atraci_97,0,0,0,0,0,0,0,0,1,0,0,0,0
40985,Automattic_simplenote-electron_1021,0,0,0,0,0,0,0,0,1,0,0,0,0
79994,Automattic_simplenote-electron_1060,0,0,0,0,0,0,0,0,1,0,0,0,0
10174,Automattic_simplenote-electron_1119,0,0,0,0,0,0,0,0,1,0,0,0,0
12333,Automattic_simplenote-electron_1121,0,0,0,0,0,0,0,0,1,0,0,0,0
82351,Automattic_simplenote-electron_1129,0,0,0,0,0,0,0,0,1,0,0,0,0
15695,Automattic_simplenote-electron_1134,0,0,0,0,0,0,0,0,1,0,0,0,0
17888,Automattic_simplenote-electron_1136,0,0,0,0,0,0,0,0,1,0,0,0,0
21271,Automattic_simplenote-electron_1137,0,0,0,0,0,0,0,0,1,0,0,0,0
29414,Automattic_simplenote-electron_1153,0,0,0,0,0,0,0,0,1,0,0,0,0
37986,Automattic_simplenote-electron_1157,0,0,0,0,0,0,0,0,1,0,0,0,0
49148,Automattic_simplenote-electron_1158,0,0,0,0,0,0,0,0,1,0,0,0,0
46093,Automattic_simplenote-electron_1165,0,0,0,0,0,0,0,0,1,0,0,0,0
39981,Automattic_simplenote-electron_1182,0,0,0,0,0,0,0,0,1,0,0,0,0
