,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
64115,720kb_ndm_120,0,0,0,1,0,0,0,0,0,0,0,0,0
58532,720kb_ndm_137,0,0,0,1,0,0,0,0,0,0,0,0,0
21134,720kb_ndm_201,0,0,0,1,0,0,0,0,0,0,0,0,0
53172,720kb_ndm_36,0,0,0,1,0,0,0,0,0,0,0,0,0
75220,720kb_ndm_40,0,0,0,1,0,0,0,0,0,0,0,0,0
2827,720kb_ndm_63,0,0,0,1,0,0,0,0,0,0,0,0,0
19926,720kb_ndm_72,0,0,0,1,0,0,0,0,0,0,0,0,0
86997,AlduinApp_alduin_81,0,0,0,1,0,0,0,0,0,0,0,0,0
30826,AppSaloon_socket.io-tester_24,0,0,0,1,0,0,0,0,0,0,0,0,0
6201,AppSaloon_socket.io-tester_3,0,0,0,1,0,0,0,0,0,0,0,0,0
53344,AppSaloon_socket.io-tester_38,0,0,0,1,0,0,0,0,0,0,0,0,0
21967,AppSaloon_socket.io-tester_4,0,0,0,1,0,0,0,0,0,0,0,0,0
17281,AppSaloon_socket.io-tester_5,0,0,0,1,0,0,0,0,0,0,0,0,0
47662,Atraci_Atraci_152,0,0,0,1,0,0,0,0,0,0,0,0,0
64309,Automattic_simplenote-electron_102,0,0,0,1,0,0,0,0,0,0,0,0,0
14096,Automattic_simplenote-electron_143,0,0,0,1,0,0,0,0,0,0,0,0,0
23052,Automattic_simplenote-electron_15,0,0,0,1,0,0,0,0,0,0,0,0,0
64055,Automattic_simplenote-electron_1558,0,0,0,1,0,0,0,0,0,0,0,0,0
69427,Automattic_simplenote-electron_165,0,0,0,1,0,0,0,0,0,0,0,0,0
75163,Automattic_simplenote-electron_166,0,0,0,1,0,0,0,0,0,0,0,0,0
68863,Automattic_simplenote-electron_1728,0,0,0,1,0,0,0,0,0,0,0,0,0
38183,Automattic_simplenote-electron_1816,0,0,0,1,0,0,0,0,0,0,0,0,0
28769,Automattic_simplenote-electron_285,0,0,0,1,0,0,0,0,0,0,0,0,0
13367,Automattic_simplenote-electron_340,0,0,0,1,0,0,0,0,0,0,0,0,0
41135,Automattic_simplenote-electron_446,0,0,0,1,0,0,0,0,0,0,0,0,0
1056,Automattic_simplenote-electron_554,0,0,0,1,0,0,0,0,0,0,0,0,0
14190,Automattic_simplenote-electron_631,0,0,0,1,0,0,0,0,0,0,0,0,0
