,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
12050,1000ch_whale_9,0,0,0,0,0,0,0,0,0,0,0,0,1
13473,4gray_oversetter_2,0,0,0,0,0,0,0,0,0,0,0,0,1
69461,720kb_ndm_152,0,0,0,0,0,0,0,0,0,0,0,0,1
80968,720kb_ndm_155,0,0,0,0,0,0,0,0,0,0,0,0,1
2410,720kb_ndm_198,0,0,0,0,0,0,0,0,0,0,0,0,1
4486,720kb_ndm_204,0,0,0,0,0,0,0,0,0,0,0,0,1
88026,720kb_ndm_208,0,0,0,0,0,0,0,0,0,0,0,0,1
10145,720kb_ndm_213,0,0,0,0,0,0,0,0,0,0,0,0,1
21026,720kb_ndm_215,0,0,0,0,0,0,0,0,0,0,0,0,1
68195,720kb_ndm_218,0,0,0,0,0,0,0,0,0,0,0,0,1
67986,720kb_ndm_224,0,0,0,0,0,0,0,0,0,0,0,0,1
76982,720kb_ndm_226,0,0,0,0,0,0,0,0,0,0,0,0,1
65680,720kb_ndm_243,0,0,0,0,0,0,0,0,0,0,0,0,1
60140,720kb_ndm_254,0,0,0,0,0,0,0,0,0,0,0,0,1
57104,720kb_ndm_255,0,0,0,0,0,0,0,0,0,0,0,0,1
58920,720kb_ndm_27,0,0,0,0,0,0,0,0,0,0,0,0,1
64522,720kb_ndm_30,0,0,0,0,0,0,0,0,0,0,0,0,1
69661,720kb_ndm_57,0,0,0,0,0,0,0,0,0,0,0,0,1
14183,720kb_ndm_59,0,0,0,0,0,0,0,0,0,0,0,0,1
14251,Atraci_Atraci_116,0,0,0,0,0,0,0,0,0,0,0,0,1
69802,Atraci_Atraci_125,0,0,0,0,0,0,0,0,0,0,0,0,1
58587,Atraci_Atraci_169,0,0,0,0,0,0,0,0,0,0,0,0,1
59229,Atraci_Atraci_183,0,0,0,0,0,0,0,0,0,0,0,0,1
56991,Atraci_Atraci_237,0,0,0,0,0,0,0,0,0,0,0,0,1
6947,Atraci_Atraci_270,0,0,0,0,0,0,0,0,0,0,0,0,1
21095,Atraci_Atraci_50,0,0,0,0,0,0,0,0,0,0,0,0,1
17864,Atraci_Atraci_86,0,0,0,0,0,0,0,0,0,0,0,0,1
65200,Automattic_simplenote-electron_1001,0,0,0,0,0,0,0,0,0,0,0,0,1
57667,Automattic_simplenote-electron_1017,0,0,0,0,0,0,0,0,0,0,0,0,1
42824,Automattic_simplenote-electron_1034,0,0,0,0,0,0,0,0,0,0,0,0,1
2001,Automattic_simplenote-electron_1047,0,0,0,0,0,0,0,0,0,0,0,0,1
81835,Automattic_simplenote-electron_1061,0,0,0,0,0,0,0,0,0,0,0,0,1
12708,Automattic_simplenote-electron_1096,0,0,0,0,0,0,0,0,0,0,0,0,1
53423,Automattic_simplenote-electron_110,0,0,0,0,0,0,0,0,0,0,0,0,1
6920,Automattic_simplenote-electron_1124,0,0,0,0,0,0,0,0,0,0,0,0,1
10017,Automattic_simplenote-electron_1125,0,0,0,0,0,0,0,0,0,0,0,0,1
77075,Automattic_simplenote-electron_1138,0,0,0,0,0,0,0,0,0,0,0,0,1
73616,Automattic_simplenote-electron_1139,0,0,0,0,0,0,0,0,0,0,0,0,1
62538,Automattic_simplenote-electron_1160,0,0,0,0,0,0,0,0,0,0,0,0,1
54617,Automattic_simplenote-electron_1167,0,0,0,0,0,0,0,0,0,0,0,0,1
57031,Automattic_simplenote-electron_1177,0,0,0,0,0,0,0,0,0,0,0,0,1
43916,Automattic_simplenote-electron_1183,0,0,0,0,0,0,0,0,0,0,0,0,1
32694,Automattic_simplenote-electron_1185,0,0,0,0,0,0,0,0,0,0,0,0,1
38312,Automattic_simplenote-electron_1194,0,0,0,0,0,0,0,0,0,0,0,0,1
39955,Automattic_simplenote-electron_1196,0,0,0,0,0,0,0,0,0,0,0,0,1
55130,Automattic_simplenote-electron_1198,0,0,0,0,0,0,0,0,0,0,0,0,1
58860,Automattic_simplenote-electron_1200,0,0,0,0,0,0,0,0,0,0,0,0,1
64484,Automattic_simplenote-electron_1203,0,0,0,0,0,0,0,0,0,0,0,0,1
42240,Automattic_simplenote-electron_1222,0,0,0,0,0,0,0,0,0,0,0,0,1
31005,Automattic_simplenote-electron_1230,0,0,0,0,0,0,0,0,0,0,0,0,1
41724,Automattic_simplenote-electron_1237,0,0,0,0,0,0,0,0,0,0,0,0,1
86458,Automattic_simplenote-electron_1248,0,0,0,0,0,0,0,0,0,0,0,0,1
86369,Automattic_simplenote-electron_1249,0,0,0,0,0,0,0,0,0,0,0,0,1
7960,Automattic_simplenote-electron_1291,0,0,0,0,0,0,0,0,0,0,0,0,1
81183,Automattic_simplenote-electron_1511,0,0,0,0,0,0,0,0,0,0,0,0,1
19562,Automattic_simplenote-electron_155,0,0,0,0,0,0,0,0,0,0,0,0,1
36725,Automattic_simplenote-electron_1553,0,0,0,0,0,0,0,0,0,0,0,0,1
58947,Automattic_simplenote-electron_1572,0,0,0,0,0,0,0,0,0,0,0,0,1
37869,Automattic_simplenote-electron_1619,0,0,0,0,0,0,0,0,0,0,0,0,1
34691,Automattic_simplenote-electron_1624,0,0,0,0,0,0,0,0,0,0,0,0,1
43590,Automattic_simplenote-electron_1626,0,0,0,0,0,0,0,0,0,0,0,0,1
1397,Automattic_simplenote-electron_1641,0,0,0,0,0,0,0,0,0,0,0,0,1
