
-------------------------------------------------------------------------------------------------------------------mean-------------------------------------------------------------------------------------------------------------------
    num_topics          tokens       document_entropy    word-length        coherence        uniform_dist      corpus_dist      eff_num_words     token-doc-diff     rank_1_docs     allocation_ratio  allocation_count    exclusivity     
        17             12850.0            7.2254             5.2            -506.7169           4.6066            2.0249           66.1643            0.0023            0.1752            0.0467            0.1797            0.5198       
        18             13864.5           7.35625            5.175           -506.79485          4.6773            1.9537           72.9946            0.0028           0.19395            0.0409           0.18295           0.50985       
        19             12756.0            7.264              5.35           -496.4432           4.7204            2.0422           64.2926            0.0022            0.1807            0.0346            0.1637            0.4914       
        20             12672.5           7.26635             5.15           -491.6544           4.7356           1.95955           64.3511            0.0025            0.1778            0.0379            0.1605           0.45045       
        25              8112.0            6.9325             5.3            -521.0194           4.901             2.5184           57.0994            0.0025            0.1665            0.0197            0.1271            0.4776       
        30              7874.0           7.01375             5.3            -520.62925          5.0518            2.4321           47.49685           0.0026            0.1762            0.0151            0.1058            0.4193       
        35              6835.0            6.8975             5.4            -542.1146           5.3083            2.6163           38.7092            0.0027            0.1518            0.0119            0.088             0.4198       
        40              6259.0           6.79935             5.4            -541.3057          5.33075           2.65985           36.15445           0.0026           0.14025           0.01045           0.08175            0.4002       
        45              5374.0            6.6878             5.35           -551.6425           5.4064            2.9329           35.9223            0.0025            0.1461            0.0066            0.0759            0.4071       
        50              5282.0           6.66435            5.375           -556.9596           5.4731             2.86            36.48845           0.0025            0.1484            0.0074            0.0688            0.363        

