
 ------------------------------------------------------------------------------------------------------------------mean------------------------------------------------------------------------------------------------------------------ 
    num_topics          tokens       document_entropy    word-length        coherence        uniform_dist      corpus_dist      eff_num_words     token-doc-diff     rank_1_docs     allocation_ratio  allocation_count    exclusivity     
        17              2421.0            6.898              6.25           -896.2681           3.6193            2.2892           64.4631            0.0001            0.4595            0.269             0.5416            0.5445       
        18              2642.5            6.9211            5.925           -900.07765          3.6733            2.0794           67.22735           0.0001           0.47635           0.24805           0.53105           0.52715       
        19              2606.0            6.8765             6.0            -941.4766           3.6568            2.0987           65.3955            0.0001            0.4669            0.2392            0.5306            0.5253       
        20              2344.0            6.8294            5.975           -930.79595         3.87195           2.25595           55.47605           0.0001           0.46945           0.22325            0.525            0.51575       
        25              1735.0            6.5774             6.05           -976.6235           3.9567            2.6281            52.835            0.0001            0.4456            0.2013            0.5092            0.5154       
        30              1348.5            6.3555             6.2            -978.24395         4.09745            2.7587           49.12585           0.0001            0.4414           0.19415           0.49675           0.53065       
        35              1205.0            6.2188             6.35           -1000.4571          4.1856            2.9019           43.4703            0.0001            0.433             0.1738            0.477             0.484        
        40              1182.5           6.25125            6.075          -1004.29445         4.34055           2.88365            38.133            0.0001            0.4326           0.16335            0.4652            0.4979       
        45              971.0             6.0594             6.35           -1023.9121          4.4106            3.0318           35.1161            0.0001            0.4215            0.1627            0.4322            0.5078       
        50              779.5            5.77785             6.4           -1036.07415          4.4962            3.2533           35.0683            0.0001           0.42085            0.1507           0.42955            0.5122       

