,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
2060,19667698,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8039,19742513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799,19797579,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6673,19819083,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9204,19875503,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6686,19877028,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7611,19968325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1385,20011053,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9200,20016650,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8189,20112297,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7500,20151346,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6173,20179343,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5471,20204461,0,0,0,0,0,0,0,0,0,0,1,0,0,0
884,20207539,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9464,20230014,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7088,20236012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2277,20297460,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4704,20324783,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8912,20353217,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1427,20493072,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2308,20560258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8072,20609605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3110,20797828,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1422,20847866,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,20925821,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1961,20939639,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8306,20963713,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3768,21017803,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3883,21033221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380,21038703,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2115,21054355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3049,21056653,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7131,21080582,0,1,0,0,0,0,0,0,0,0,0,0,0,0
197,21108598,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7875,21109428,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6414,21114655,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5842,21147964,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2786,21241037,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7569,21254634,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8672,21269840,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8560,21304845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2842,21326709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9318,21341856,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,21345597,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7097,21445824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10383,21483022,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9271,21495479,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2857,21497010,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8715,21545673,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10561,21608255,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9722,21674388,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8620,21739700,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6010,21746570,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,21754917,0,1,0,0,0,0,0,0,0,0,0,0,0,0
88,21789395,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7581,21789891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8660,21807778,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1018,21817005,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10216,21826407,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6502,21827184,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6498,21870963,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4960,21894156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,21914490,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2806,21948158,0,0,0,0,0,0,0,0,0,0,1,0,0,0
848,21993847,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7102,22111250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9720,22235315,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5442,22254375,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2393,22257000,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5284,22260552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,22353074,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7839,22382865,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6546,22385116,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8466,22390963,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4238,22397696,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6912,22400592,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5569,22438235,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9413,22442275,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10696,22448789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7095,22448850,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9087,22475590,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3649,22511256,0,0,0,0,0,0,1,0,0,0,0,0,0,0
195,22512267,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5475,22520693,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9774,22522817,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2826,22580821,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,22597669,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6528,22694561,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2753,22695072,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8486,22703867,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7974,22712500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2435,22724972,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10214,22756095,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7529,22760208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,22766974,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2529,22787613,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3569,22842907,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4844,22860342,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4426,22873923,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1275,22887754,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9042,22899012,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2121,22900358,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7901,22916627,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1098,22930115,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9591,23056641,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9832,23119750,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4896,23143190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6585,23155065,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2445,23158277,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9247,23236041,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1854,23273129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1553,23279203,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3554,23290362,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,23328328,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5890,23360298,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2631,23361923,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6286,23384524,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1561,23407592,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9017,23410169,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9172,23437878,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5956,23458776,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9441,23458892,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3841,23462345,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10485,23491908,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1264,23509356,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1469,23517187,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10213,23519407,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9910,23526554,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10668,23557423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2456,23559413,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7221,23570215,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8523,23597367,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2154,23615844,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5692,23659374,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8258,23669613,0,0,0,1,0,0,0,0,0,0,0,0,0,0
257,23709930,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6300,23717636,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5384,23722495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1614,23731517,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6891,23761564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6859,23767663,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5084,23815026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8015,23819417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2907,23849563,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5145,23873412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9576,23880451,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1293,23897652,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8599,23902290,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5021,23902598,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9651,23917275,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3241,23936567,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1685,23966094,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10360,23966504,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10374,23976059,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2634,23999686,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8510,24004993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,24012929,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5419,24014318,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1345,24019665,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9471,24065228,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8217,24104658,0,0,0,0,0,0,0,0,0,0,0,0,0,0
998,24142099,0,0,0,0,0,0,0,0,0,0,0,0,1,0
612,24192872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,24198583,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7236,24203749,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9686,24224155,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9894,24232534,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8806,24244261,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7969,24253357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,24283078,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,24311122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7578,24314431,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4210,24328117,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2054,24333782,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3842,24406670,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6364,24427113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4150,24455600,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1734,24486599,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2492,24492100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8337,24531671,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3892,24534601,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4578,24536991,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9571,24583204,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9886,24586590,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6690,24587561,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9126,24621546,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6217,24638464,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4964,24670995,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8651,24673216,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4021,24718780,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,24743938,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3322,24782130,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6492,24785913,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6605,24828131,0,0,0,0,0,1,0,0,0,0,0,0,0,0
